Date,Team,Acquired,Relinquised,Notes
2011-02-03,Raptors,,Linas Kleiza,microfracture surgery on right knee to repair cartilage damage (out for season)
2011-02-04,Celtics,,Shaquille O'Neal,sore right leg / Achilles tendon (CBC) (DNP)
2011-02-04,Clippers,,Eric Gordon,sprained right wrist (DNP)
2011-02-04,Jazz,,Andrei Kirilenko,sprained left ankle (DNP)
2011-02-04,Kings,,Hassan Whiteside,torn patella tendon in left knee (out for season)
2011-02-04,Kings,,Jason Thompson,sprained right ankle (DNP)
2011-02-04,Magic,,Brandon Bass,sprained left ankle (DNP)
2011-02-04,Pistons,,Jason Maxiell,sore back (DNP)
2011-02-04,Raptors,,Jerryd Bayless,sprained right knee (DTD)
2011-02-04,Timberwolves,,Michael Beasley,left ankle injury (DTD)
2011-02-05,Blazers,,Dante Cunningham,facial injury (DNP)
2011-02-05,Hornets,,Trevor Ariza,sprained right ankle (DNP)
2011-02-05,Jazz,,Andrei Kirilenko,sprained left ankle (DNP)
2011-02-05,Pistons,,Jason Maxiell,sore back (DNP)
2011-02-05,Timberwolves,Michael Beasley,,returned to lineup
2011-02-06,Celtics,,Marquis Daniels,bruised spinal cord (out indefinitely)
2011-02-06,Celtics,,Shaquille O'Neal,sore right leg (DNP)
2011-02-06,Clippers,,Eric Gordon,sprained right wrist (DNP)
2011-02-06,Magic,,Brandon Bass,sprained left ankle (DNP)
2011-02-07,Celtics,,Semih Erden,strained right adductor (DNP)
2011-02-07,Celtics,,Shaquille O'Neal,sore right leg (DNP)
2011-02-07,Jazz,,Francisco Elson,left knee injury (DTD)
2011-02-08,Clippers,,Eric Gordon,sprained right wrist (DNP)
2011-02-08,Magic,,Brandon Bass,sprained left ankle (DNP)
2011-02-08,Mavericks,,Dominique Jones,stress fracture in fifth metatarsal in right foot (out indefinitely)
2011-02-08,Pistons,,Chris Wilcox,sore groin (DNP)
2011-02-08,Pistons,,Richard Hamilton,sore groin (DNP)
2011-02-08,Raptors,,Alexis Ajinca / Alex Ajinca,sore left foot (DNP)
2011-02-08,Timberwolves,,Darko Milicic,strained left hip flexor (DNP)
2011-02-08,Timberwolves,,Michael Beasley,sprained left ankle (DNP)
2011-02-09,Clippers,,Eric Gordon,sprained right wrist (DNP)
2011-02-09,Jazz,,Francisco Elson,left knee inflammation (DNP)
2011-02-09,Magic,,Brandon Bass,sprained left ankle (DNP)
2011-02-09,Pistons,,Richard Hamilton,sore groin (DNP)
2011-02-09,Wizards,,Al Thornton,dislocated right middle finger (DNP)
2011-02-09,Wizards,,Yi Jianlian / Jianlian Yi,sprained left ankle (DNP)
2011-02-10,Celtics,,Semih Erden,strained right adductor (DNP)
2011-02-10,Celtics,,Shaquille O'Neal,sore right leg (DNP)
2011-02-11,Clippers,,Eric Gordon,sprained right wrist (DNP)
2011-02-11,Jazz,,Raja Bell,strained left calf (DNP)
2011-02-11,Jazz,,Ronnie Price,sprained right big toe (DNP)
2011-02-11,Magic,,Brandon Bass,sprained left ankle (DNP)
2011-02-11,Mavericks,,Dominique Jones,surgery on right foot to repair stress fracture in fifth metatarsal (out indefinitely)
2011-02-11,Pistons,,Richard Hamilton,sore groin (DNP)
2011-02-11,Raptors,,Alexis Ajinca / Alex Ajinca,sore left foot (DNP)
2011-02-11,Spurs,,Tiago Splitter,strained left hamstring (DNP)
2011-02-11,Timberwolves,,Darko Milicic,strained left hip flexor (DNP)
2011-02-11,Timberwolves,,Michael Beasley,sprained left ankle (DNP)
2011-02-11,Bucks,,Larry Sanders,back spasms (DNP)
2011-02-12,Cavaliers,,Anderson Varejao,surgery on right ankle to repair torn tendon (date approximate)
2011-02-12,Spurs,,Tiago Splitter,strained left hamstring (DNP)
2011-02-12,Timberwolves,,Darko Milicic,strained left hip flexor (DNP)
2011-02-13,Celtics,,Semih Erden,strained right adductor (DNP)
2011-02-13,Celtics,,Shaquille O'Neal,sore right leg (DNP)
2011-02-13,Clippers,,Eric Gordon,sprained right wrist (DNP)
2011-02-13,Kings,,Luther Head,sore right knee (DTD)
2011-02-13,Warriors,,Dan Gadzuric,back spasms (DTD)
2011-02-14,Clippers,,Eric Gordon,fractured right wrist (DNP)
2011-02-15,Bobcats,,Eduardo Najera,groin injury (DNP)
2011-02-15,Heat,,Dexter Pittman,surgery on right knee to repair cartilage (out indefinitely)
2011-02-15,Jazz,,Andrei Kirilenko,sprained right ankle (DNP)
2011-02-15,Jazz,,Raja Bell,strained left calf (DNP)
2011-02-15,Jazz,,Ronnie Price,sprained right big toe (DNP)
2011-02-15,Kings,,Tyreke Evans,plantar fasciitis in right foot (DNP)
2011-02-16,Bucks,,Ersan Ilyasova,right eye contusion (DNP)
2011-02-16,Bucks,,Keyon Dooling,sore left knee (DNP)
2011-02-16,Celtics,,Shaquille O'Neal,sore right leg (DNP)
2011-02-16,Clippers,,Eric Gordon,sprained right wrist (DNP)
2011-02-16,Grizzlies,,Rudy Gay,partially dislocated left shoulder (out indefinitely)
2011-02-16,Jazz,,Andrei Kirilenko,sprained right ankle (DNP)
2011-02-16,Jazz,,Raja Bell,strained left calf (DNP)
2011-02-16,Jazz,,Ronnie Price,sprained right big toe (DNP)
2011-02-16,Kings,,Tyreke Evans,plantar fasciitis in right foot (DNP)
2011-02-17,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,illness (DTD)
2011-02-17,Spurs,,Tiago Splitter,strained left hamstring (DNP)
2011-02-21,Kings,,Francisco Garcia,left calf injury (DNP)
2011-02-22,Bobcats,Eduardo Najera,,returned to lineup
2011-02-22,Bucks,Ersan Ilyasova,,returned to lineup
2011-02-22,Celtics,Semih Erden,,returned to lineup
2011-02-23,Blazers,,Sean Marks,left hand injury (DTD)
2011-02-23,Jazz,,Ronnie Price,sprained right big toe (DNP)
2011-02-23,Kings,,Tyreke Evans,plantar fasciitis in left foot (DNP) (P)
2011-02-23,Suns,,Zabian Dowdell,illness (DTD)
2011-02-25,Blazers,,Gerald Wallace,DNP
2011-02-25,Bobcats,,D.J. White,DNP
2011-02-25,Nuggets,,Melvin Ely,sprained ankle (DTD)
2011-02-25,Spurs,,Gary Neal,concussion symptoms (DNP)
2011-02-25,Suns,Zabian Dowdell,,returned to lineup
2011-02-25,Timberwolves,,Martell Webster,sore back (DNP)
2011-02-25,Bobcats,,DeSagana Diop,ruptured right Achilles tendon (DNP)
2011-02-25,Bobcats,,Tyrus Thomas,torn meniscus in right knee (DNP)
2011-02-25,Kings,,Francisco Garcia,strained left calf (DNP)
2011-02-26,Bucks,,Ersan Ilyasova,concussion (DNP)
2011-02-26,Kings,,Francisco Garcia,strained left calf (DNP)
2011-02-26,Nets,,Quinton Ross,strained lower back (DNP)
2011-02-26,Pistons,,Tayshaun Prince,back injury / illness (P) (DNP)
2011-02-26,Pistons,,Tracy McGrady,headache (DNP)
2011-02-27,Bobcats,,Tyrus Thomas,torn meniscus in right knee (DNP)
2011-02-27,Cavaliers,,Antawn Jamison,broken left little finger (out indefinitely)
2011-02-27,Raptors,,Andrea Bargnani,flu (DNP)
2011-02-27,Spurs,,Gary Neal,concussion symptoms (DNP)
2011-02-28,Cavaliers,,Antawn Jamison,surgery to repair broken left little finger (out indefinitely)
2011-02-28,Celtics,,Delonte West,sprained right ankle (DNP)
2011-02-28,Hawks,,Kirk Hinrich,sore right calf (DNP)
2011-02-28,Kings,,Francisco Garcia,strained left calf (DNP)
2011-02-28,Spurs,,(William) Tony Parker,strained left calf muscle (out indefinitely)
2011-03-01,Blazers,,Rudy Fernandez,illness / flu (DNP)
2011-03-01,Bucks,,Andrew Bogut,strained left rib muscle (DNP)
2011-03-01,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,flu (DNP)
2011-03-01,Magic,,Gilbert Arenas,sore left knee (DNP)
2011-03-01,Pistons,,Tayshaun Prince,sore SI joint (DNP)
2011-03-02,Cavaliers,,Daniel Gibson,quadriceps injury (DTD)
2011-03-02,Cavaliers,,Semih Erden,groin injury (DTD)
2011-03-02,Hawks,,Josh Smith,sprained MCL in right knee (DTD)
2011-03-03,Celtics,,Glen Davis,patellar tendinitis in left knee (out indefinitely)
2011-03-03,Jazz,,Derrick Favors,cold (DNP)
2011-03-03,Thunder,,Nate Robinson,arthroscopic surgery on right knee (out indefinitely)
2011-03-04,Bucks,,Ersan Ilyasova,concussion (DNP)
2011-03-04,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,stomach virus (DNP)
2011-03-04,Cavaliers,,Semih Erden,strained right adductor muscle (DNP)
2011-03-04,Celtics,,Glen Davis,patellar tendinitis in left knee (DNP)
2011-03-04,Hornets,,Trevor Ariza,strained abductor muscle (DNP)
2011-03-04,Timberwolves,,Sebastian Telfair,illness (DTD)
2011-03-04,Timberwolves,,Wesley Johnson / Wes Johnson,gastroenteritis / food poisoning (DNP)
2011-03-05,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-03-05,Kings,,Hassan Whiteside,surgery on left knee to repair torn patella tendon (out for season)
2011-03-05,Kings,,Omri Casspi,sore back (DNP)
2011-03-05,Timberwolves,,Wesley Johnson / Wes Johnson,flu (DNP)
2011-03-06,Bucks,,Ersan Ilyasova,concussion (DNP)
2011-03-06,Celtics,,Glen Davis,strained patellar tendon in left knee (DNP)
2011-03-06,Celtics,,Von Wafer,sprained right calf (DNP)
2011-03-06,Hornets,,Trevor Ariza,strained groin (DNP)
2011-03-06,Wizards,,Rashard Lewis,right knee tendinitis (DNP)
2011-03-07,Hornets,,Chris Paul,concussion (DNP)
2011-03-07,Hornets,,Trevor Ariza,strained groin (DNP)
2011-03-07,Jazz,,Francisco Elson,sprained left ankle (DNP)
2011-03-07,Jazz,,Kyrylo Fesenko,back spasms (DNP)
2011-03-07,Magic,,Chris Duhon,flu (DNP)
2011-03-07,Suns,,Channing Frye,dislocated right shoulder (out indefinitely)
2011-03-08,Bucks,,Ersan Ilyasova,concussion (DNP)
2011-03-08,Cavaliers,,Luke Harangody,right hip pointer (DNP)
2011-03-08,Wizards,,Cartier Martin,patella tendinitis in right knee (DNP)
2011-03-09,Bobcats,,Joel Przybilla,sore right knee (DNP)
2011-03-09,Bobcats,,Matt Carroll,sprained left ankle (DNP)
2011-03-09,Bucks,,Ersan Ilyasova,concussion (DNP)
2011-03-09,Celtics,,Glen Davis,strained patellar tendon in left knee (DNP)
2011-03-09,Celtics,,Von Wafer,strained right calf (DNP)
2011-03-09,Jazz,,Andrei Kirilenko,back spasms (DNP)
2011-03-09,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP)
2011-03-09,Kings,,Beno Udrih,flu (DNP)
2011-03-09,Raptors,,Alexis Ajinca / Alex Ajinca,sore right knee (DNP)
2011-03-11,Celtics,,Glen Davis,strained patellar tendon in left knee (DNP)
2011-03-11,Celtics,,Von Wafer,strained right calf (DNP)
2011-03-11,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP)
2011-03-11,Kings,,Beno Udrih,flu (DNP)
2011-03-11,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-03-11,Raptors,,Alexis Ajinca / Alex Ajinca,sore right knee (DNP)
2011-03-12,Bucks,,Ersan Ilyasova,concussion (DNP)
2011-03-12,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP)
2011-03-12,Kings,,Beno Udrih,flu (DNP)
2011-03-12,Wizards,,Cartier Martin,patella tendinitis in right knee (DNP)
2011-03-13,Celtics,,Von Wafer,strained right calf (DNP)
2011-03-13,Knicks,,Anthony Carter,illness (DTD)
2011-03-13,Suns,,Steve Nash,pubic symphysis (DNP)
2011-03-14,Celtics,,Von Wafer,strained right calf (DNP)
2011-03-14,Jazz,,Gordon Hayward,sprained left foot (DNP)
2011-03-14,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP)
2011-03-14,Rockets,,Terrence Williams,lower abdomen stress (DNP)
2011-03-14,Suns,,Steve Nash,pubic symphysis (DNP)
2011-03-14,Wizards,,Cartier Martin,patella tendinitis in right knee (DNP)
2011-03-15,Bulls,,Joakim Noah,flu (DNP)
2011-03-15,Mavericks,,Brendan Haywood,stiff lower back (DNP)
2011-03-15,Rockets,,Terrence Williams,surgery to relieve lower abdomen stress (out indefinteily)
2011-03-15,Wizards,,Cartier Martin,patella tendinitis in right knee (DNP)
2011-03-15,Wizards,,Josh Howard,left knee tendinitis (DNP)
2011-03-15,Wizards,,Nick Young,bruised left knee (DNP)
2011-03-16,Bucks,,Andrew Bogut,migraine headache (DNP)
2011-03-16,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP)
2011-03-16,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-03-16,Mavericks,,Brendan Haywood,stiff lower back (DNP)
2011-03-16,Rockets,,Terrence Williams,lower abdomen stress (DNP)
2011-03-18,Bucks,,Chris Douglas-Roberts,sprained right ankle (DNP)
2011-03-18,Kings,,Luther Head,sore right calf (DNP)
2011-03-18,Magic,,Gilbert Arenas,sore left knee (DNP)
2011-03-18,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-03-18,Wizards,,Andray Blatche,strained right shoulder (DNP)
2011-03-18,Wizards,,Nick Young,bruised left knee (DNP)
2011-03-19,Blazers,,Armon Johnson,right knee inflammation (DTD)
2011-03-19,Bobcats,,Garrett Temple,sprained left ankle (DNP)
2011-03-19,Cavaliers,,Baron Davis,back spasms (DNP)
2011-03-19,Nuggets,,Al Harrington,right Achilles tendon injury (DTD)
2011-03-20,Wizards,,Nick Young,bruised left knee (DNP)
2011-03-21,Cavaliers,,Baron Davis,back spasms (DNP)
2011-03-21,Heat,,Mario Chalmers,sprained right knee (out indefinitely)
2011-03-21,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-03-21,Nets,,Damion James,sore right foot (DNP)
2011-03-21,Spurs,,Tim Duncan,sprained left ankle (out indefinitely)
2011-03-22,Blazers,,Marcus Camby,sprained right ankle (DNP)
2011-03-22,Blazers,Armon Johnson,,returned to lineup
2011-03-22,Wizards,,Nick Young,bruised left knee (DNP)
2011-03-23,Cavaliers,,Baron Davis,back spasms (DNP)
2011-03-23,Heat,,Mario Chalmers,sprained right knee (DNP)
2011-03-23,Jazz,,Andrei Kirilenko,bruised left knee (DTD)
2011-03-23,Jazz,,Derrick Favors,sprained left ankle (DNP)
2011-03-23,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-03-23,Nets,,Damion James,sore right foot (DNP)
2011-03-23,Pistons,,Ben Wallace,left knee injury (DTD)
2011-03-23,Rockets,,Chase Budinger,sprained left ankle (DTD)
2011-03-23,Timberwolves,,Kevin Love,strained left groin (DTD)
2011-03-23,Wizards,,Nick Young,bruised left knee (DNP)
2011-03-24,Jazz,,Andrei Kirilenko,nerve damage in left knee (DNP)
2011-03-25,Bobcats,,Tyrus Thomas,bruised ribs (DNP)
2011-03-25,Celtics,,Troy Murphy,sprained right ankle (DNP)
2011-03-25,Grizzlies,,Rudy Gay,surgery to repair partially dislocated left shoulder (out for season)
2011-03-25,Heat,,Mario Chalmers,sprained right knee (DNP)
2011-03-25,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-03-25,Magic,,Quentin Richardson,back spasms (DNP)
2011-03-25,Raptors,,Amir Johnson,sore left ankle (DNP)
2011-03-25,Raptors,,Reggie Evans,sore right foot (DNP)
2011-03-26,Bobcats,,Tyrus Thomas,bruised ribs (DNP)
2011-03-26,Jazz,,Andrei Kirilenko,nerve damage in left knee (DNP)
2011-03-26,Nets,,Damion James,sore right foot (DNP)
2011-03-26,Pistons,,Tracy McGrady,sore back (DNP)
2011-03-26,Raptors,,Andrea Bargnani,sore right ankle (DNP)
2011-03-27,Celtics,,Rajon Rondo,right finger injury (DNP)
2011-03-27,Celtics,,Troy Murphy,sprained right ankle (DNP)
2011-03-27,Timberwolves,,Nikola Pekovic,hip injury (DNP)
2011-03-27,Wizards,,Trevor Booker,sore right foot (DNP)
2011-03-28,76ers,,Tony Battie,illness (DTD)
2011-03-28,Celtics,,Troy Murphy,sprained right ankle (DNP)
2011-03-28,Jazz,,Andrei Kirilenko,nerve damage in left knee (DNP)
2011-03-28,Jazz,,Kyrylo Fesenko,migraine headache (DNP)
2011-03-28,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-03-28,Magic,,Jameer Nelson,sprained left knee (DNP)
2011-03-28,Spurs,,(William) Tony Parker,bruised left patella (DNP)
2011-03-28,Spurs,,Antonio McDyess,bruised lower back (DNP)
2011-03-28,Wizards,,Nick Young,bruised left knee (DNP)
2011-03-28,Wizards,,Trevor Booker,sore right foot (DNP)
2011-03-29,Cavaliers,,Samardo Samuels,wrist injury (DTD)
2011-03-29,Heat,,Mike Miller,bruised left knee (DNP)
2011-03-29,Nets,,Damion James,sore right foot (DNP)
2011-03-29,Thunder,,Nick Collison,sprained left ankle (DNP)
2011-03-30,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-03-30,Bucks,,Larry Sanders,back spasms (DNP)
2011-03-30,Cavaliers,,Samardo Samuels,sprained right wrist (DNP)
2011-03-30,Heat,,Mike Miller,bruised left knee (DNP)
2011-03-30,Kings,,Marquis Daniels,surgery on back (out for season)
2011-03-30,Magic,,Chris Duhon,sprained right thumb (DNP)
2011-03-30,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-03-30,Nets,,Ben Uzoh,sore left knee (DNP)
2011-03-30,Wizards,,Nick Young,bruised left knee (DNP)
2011-03-31,Bobcats,,Joel Przybilla,surgery on knee to remove wires that were inserted to help heal torn patella tendon (out for season) (date approximate)
2011-04-01,76ers,Tony Battie,,returned to lineup
2011-04-01,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-01,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-01,Cavaliers,,Samardo Samuels,sprained right wrist (DNP)
2011-04-01,Jazz,,Raja Bell,sprained/bruised right foot (DNP)
2011-04-01,Jazz,,Ronnie Price,bruised left shin (DNP)
2011-04-01,Magic,,Chris Duhon,sprained right thumb (DNP)
2011-04-01,Magic,,Gilbert Arenas,flu (DNP)
2011-04-01,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-04-01,Suns,,Steve Nash,flu-like symptoms (DNP)
2011-04-01,Wizards,,Nick Young,bruised left knee (DNP)
2011-04-02,Bucks,,Carlos Delfino,bruised right chest/ribs (DNP)
2011-04-02,Clippers,,Ryan Gomes,sore knee (DNP)
2011-04-02,Raptors,,Andrea Bargnani,sore right ankle (DNP)
2011-04-02,Timberwolves,,Darko Milicic,sprained left ankle (DNP)
2011-04-02,Timberwolves,,Kevin Love,strained left groin (DNP)
2011-04-03,Bobcats,,Eduardo Najera,lower back spasms (DNP)
2011-04-03,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-03,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-03,Jazz,,Raja Bell,sprained/bruised right foot (DNP)
2011-04-03,Jazz,,Ronnie Price,bruised left shin (DNP)
2011-04-03,Magic,,Chris Duhon,sprained right thumb (DNP)
2011-04-03,Magic,,Gilbert Arenas,flu (DNP)
2011-04-03,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-04-03,Nuggets,,Arron Afflalo,hamstring injury (DTD)
2011-04-03,Suns,,Steve Nash,flu (DNP)
2011-04-03,Wizards,,Hamady Ndiaye / Hamady N'Diaye,strained left patella tendon (DNP)
2011-04-03,Wizards,,Nick Young,bruised left knee (DNP)
2011-04-05,Bobcats,,Eduardo Najera,lower back spasms (DNP)
2011-04-05,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-05,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-05,Cavaliers,,Samardo Samuels,strained left groin (DNP)
2011-04-05,Jazz,,Kyrylo Fesenko,fractured right thumb (DNP)
2011-04-05,Jazz,,Raja Bell,sprained/bruised right foot (DNP)
2011-04-05,Jazz,,Ronnie Price,bruised left shin (DNP)
2011-04-05,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-04-05,Nets,,Anthony Morrow,left knee tendinitis (DTD)
2011-04-05,Timberwolves,,Kevin Love,strained left groin (DNP)
2011-04-05,Wizards,,Cartier Martin,stress fracture in left foot (DTD)
2011-04-05,Wizards,,Hamady Ndiaye / Hamady N'Diaye,strained left patella tendon (DNP)
2011-04-05,Wizards,,Nick Young,bruised left knee (DNP)
2011-04-06,Bobcats,,Eduardo Najera,lower back spasms (DNP)
2011-04-06,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-06,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-06,Magic,,J.J. Redick,lower abdominal strain (DNP)
2011-04-06,Magic,,Jason Richardson,left knee tendinitis (DNP)
2011-04-06,Mavericks,,Jason Kidd,rest (DNP)
2011-04-06,Nets,,Anthony Morrow,left knee tendinitis (DNP)
2011-04-06,Nets,,Damion James,sore right foot (DNP)
2011-04-06,Nuggets,,Timofey Mozgov,sprained left knee and ankle (DNP)
2011-04-06,Raptors,,Amir Johnson,sore left ankle (DNP)
2011-04-06,Wizards,,Hamady Ndiaye / Hamady N'Diaye,strained left patella tendon (DNP)
2011-04-06,Wizards,,Nick Young,bruised left knee (DNP)
2011-04-07,Blazers,,Marcus Camby,strained/sore neck (DNP)
2011-04-07,Jazz,,Kyrylo Fesenko,fractured right thumb (DNP)
2011-04-07,Jazz,,Ronnie Price,strained left calf (DNP)
2011-04-07,Warriors,,Acie Law,surgery on right wrist to remove bone spur (out for season)
2011-04-08,Blazers,,Marcus Camby,strained/sore neck (DNP)
2011-04-08,Bobcats,,Eduardo Najera,lower back spasms (DNP)
2011-04-08,Bobcats,,Stephen Jackson,strained left hamstring (DNP)
2011-04-08,Bobcats,,Tyrus Thomas,sore left knee (DNP)
2011-04-08,Cavaliers,,Samardo Samuels,strained left groin (DNP)
2011-04-08,Clippers,,Chris Kaman,sprained right knee (DNP)
2011-04-08,Knicks,,Andy Rautins,surgery on knee (date approximate)
2011-04-08,Nets,,Anthony Morrow,left knee tendinitis (DNP)
2011-04-08,Nuggets,,Timofey Mozgov,sprained left knee and ankle (DNP)
